quality,severity,rule,module,file,line,effort,message,status
RELIABILITY,LOW,java:S2637,pos-location,pos-location/src/main/java/com/positivity/location/internal/service/PeopleContactEventsListener.java,128,15min,"Parameter 1 to this call is marked ""@NonNull"" but null could be passed.",fixed (PR #1487)
RELIABILITY,LOW,java:S2637,pos-supplier,pos-supplier/src/main/java/com/positivity/supplier/internal/config/SupplierYamlBootstrap.java,158,15min,"Parameter 1 to this call is marked ""@NonNull"" but null could be passed.",fixed (PR #1487)
MAINTAINABILITY,BLOCKER,java:S2699,pos-workorder,pos-workorder/src/test/java/com/positivity/workorder/internal/service/PromotedWorkorderDemandPublisherTest.java,145,10min,Add at least one assertion to this test case.,fixed (PR #1487)
MAINTAINABILITY,HIGH,java:S1186,pos-customer,pos-customer/src/main/java/com/positivity/customer/internal/dto/snapshot/BillingRuleRef.java,101,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",deleted - redundant no-arg constructor (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-customer,pos-customer/src/main/java/com/positivity/customer/internal/dto/snapshot/ContactSummary.java,50,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",deleted - redundant no-arg constructor (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-customer,pos-customer/src/main/java/com/positivity/customer/internal/dto/snapshot/ContactSummary.java,228,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",deleted - redundant no-arg constructor (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-customer,pos-customer/src/main/java/com/positivity/customer/internal/dto/snapshot/CrmSnapshotDTO.java,92,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",deleted - redundant no-arg constructor (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-customer,pos-customer/src/main/java/com/positivity/customer/internal/dto/snapshot/CrmSnapshotDTO.java,173,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",deleted - redundant no-arg constructor (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-people,pos-people/src/main/java/com/positivity/people/internal/entity/TimeEntryException.java,169,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",fixed - setters now assign (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-people,pos-people/src/main/java/com/positivity/people/internal/entity/TimeEntryException.java,175,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",fixed - setters now assign (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-people,pos-people/src/main/java/com/positivity/people/internal/entity/WorkSession.java,64,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",deleted - dead @PrePersist callback (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-people,pos-people/src/main/java/com/positivity/people/internal/entity/WorkSessionBreak.java,59,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",deleted - dead @PrePersist callback (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-security-common,pos-security-common/src/test/java/com/positivity/security/common/RequiredPermissionsOpenApiAutoConfigurationTest.java,21,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",documented - deliberate @PreAuthorize test fixture (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-security-common,pos-security-common/src/test/java/com/positivity/security/common/RequiredPermissionsOpenApiAutoConfigurationTest.java,24,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",documented - deliberate @PreAuthorize test fixture (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-security-common,pos-security-common/src/test/java/com/positivity/security/common/RequiredPermissionsOpenApiAutoConfigurationTest.java,27,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",documented - deliberate @PreAuthorize test fixture (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-security-common,pos-security-common/src/test/java/com/positivity/security/common/RequiredPermissionsOpenApiAutoConfigurationTest.java,30,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",documented - deliberate @PreAuthorize test fixture (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-security-common,pos-security-common/src/test/java/com/positivity/security/common/RequiredPermissionsOpenApiAutoConfigurationTest.java,32,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",documented - deliberate @PreAuthorize test fixture (PR #1490)
MAINTAINABILITY,HIGH,java:S1186,pos-workorder,pos-workorder/src/main/java/com/positivity/workorder/internal/dto/BillingRulesDTO.java,81,5min,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",deleted - redundant no-arg constructor (PR #1490)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/controller/JournalEntryController.java,66,8min,"Define a constant instead of duplicating this literal ""updatedAt"" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/entity/DefaultGLMapping.java,70,10min,"Define a constant instead of duplicating this literal ""SYSTEM"" 4 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/report/LaborOverheadTaxonomy.java,204,8min,"Define a constant instead of duplicating this literal ""Maintenance"" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/service/EventIngestionServiceImpl.java,208,8min,"Define a constant instead of duplicating this literal ""Event not found: "" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/service/GLAccountServiceImpl.java,56,8min,"Define a constant instead of duplicating this literal ""accountCode"" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/service/GLAccountServiceImpl.java,63,8min,"Define a constant instead of duplicating this literal ""updatedAt"" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/service/MappingResolutionTestServiceImpl.java,381,8min,"Define a constant instead of duplicating this literal ""payload."" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/service/PaymentApplicationServiceImpl.java,408,8min,"Define a constant instead of duplicating this literal ""Payment application not found: "" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/service/PostingRuleDefinitionValidator.java,109,8min,"Define a constant instead of duplicating this literal ""conditions["" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/service/PostingRuleDefinitionValidator.java,112,8min,"Define a constant instead of duplicating this literal ""factorPercent"" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/service/PostingRuleDefinitionValidator.java,125,12min,"Define a constant instead of duplicating this literal "".factorPercent"" 5 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/service/PostingRuleEvaluatorImpl.java,161,10min,"Define a constant instead of duplicating this literal ""failureStep"" 4 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-accounting,pos-accounting/src/main/java/com/positivity/accounting/internal/service/PostingRuleServiceImpl.java,52,8min,"Define a constant instead of duplicating this literal ""updatedAt"" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-catalog,pos-catalog/src/main/java/com/positivity/catalog/internal/controller/CatalogExceptionHandler.java,54,12min,"Define a constant instead of duplicating this literal ""VALIDATION_ERROR"" 5 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-catalog,pos-catalog/src/main/java/com/positivity/catalog/internal/service/InventoryEventsListener.java,70,4min,Use already-defined constant 'OWNER' instead of duplicating its value here.,fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-catalog,pos-catalog/src/main/java/com/positivity/catalog/internal/service/SupplierPriceCatalogEventsListener.java,299,4min,Use already-defined constant 'OWNER' instead of duplicating its value here.,fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-customer,pos-customer/src/main/java/com/positivity/customer/internal/config/CustomerCommandListener.java,118,8min,"Define a constant instead of duplicating this literal ""payload"" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-customer,pos-customer/src/main/java/com/positivity/customer/internal/security/CrmPermissionRegistry.java,153,56min,"Define a constant instead of duplicating this literal ""MEDIUM"" 27 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-customer,pos-customer/src/main/java/com/positivity/customer/internal/security/CrmPermissionRegistry.java,190,8min,"Define a constant instead of duplicating this literal ""Issue #169"" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-customer,pos-customer/src/main/java/com/positivity/customer/internal/security/CrmPermissionRegistry.java,216,8min,"Define a constant instead of duplicating this literal ""Issue #1136"" 3 times.",fixed (PR #1495)
MAINTAINABILITY,HIGH,java:S1192,pos-customer,pos-customer/src/main/java/com/positivity/customer/internal/security/CrmPermissionRegistry.java,221,8min,"Define a constant instead of duplicating this literal ""Issue #1137"" 3 times.",fixed (PR #1495)
