operationCode,sourceCode,sourceRevision,vehicleYear,make,model,submodel,engineCode,laborHours,timeType,overlapGroup,includedOpCodes,ownerScope,ownerLocationCode,publishedAt
TIRE-ROTATION,DURION,tier0-fake-2026-09,,,,,,0.5,DURION_STANDARD,WHEEL-OFF,,PLATFORM,,2026-09-01
WHEEL-BALANCE-SET-4,DURION,tier0-fake-2026-09,,,,,,0.8,DURION_STANDARD,WHEEL-OFF,,PLATFORM,,2026-09-01
TIRE-INSTALL-SET-4,DURION,tier0-fake-2026-09,,,,,,1.3,DURION_STANDARD,WHEEL-OFF,"WHEEL-BALANCE-SET-4,TPMS-SENSOR-SERVICE",PLATFORM,,2026-09-01
TIRE-INSTALL-LT-SET-4,DURION,tier0-fake-2026-09,,,,,,1.6,DURION_STANDARD,WHEEL-OFF,"WHEEL-BALANCE-SET-4,TPMS-SENSOR-SERVICE",PLATFORM,,2026-09-01
TPMS-SENSOR-SERVICE,DURION,tier0-fake-2026-09,,,,,,0.6,DURION_STANDARD,WHEEL-OFF,,PLATFORM,,2026-09-01
TPMS-SENSOR-REPLACE-SINGLE,DURION,tier0-fake-2026-09,,,,,,0.8,DURION_STANDARD,,,PLATFORM,,2026-09-01
TIRE-REPAIR-PATCH-PLUG,DURION,tier0-fake-2026-09,,,,,,0.7,DURION_STANDARD,,,PLATFORM,,2026-09-01
ROAD-FORCE-BALANCE-SET-4,DURION,tier0-fake-2026-09,,,,,,1.2,DURION_STANDARD,WHEEL-OFF,WHEEL-BALANCE-SET-4,PLATFORM,,2026-09-01
LUG-TORQUE-RECHECK,DURION,tier0-fake-2026-09,,,,,,0.3,DURION_STANDARD,,,PLATFORM,,2026-09-01
NITROGEN-FILL-SET-4,DURION,tier0-fake-2026-09,,,,,,0.4,DURION_STANDARD,,,PLATFORM,,2026-09-01
TIRE-INSTALL-COMMERCIAL-SINGLE,DURION,tier0-fake-2026-09,,,,,,0.9,DURION_STANDARD,,,PLATFORM,,2026-09-01
TIRE-INSTALL-COMMERCIAL-SINGLE,DURION,tier0-fake-2026-09,,Freightliner,,,,1.3,DURION_STANDARD,,,PLATFORM,,2026-09-01
FLEET-PM-A-SERVICE,DURION,tier0-fake-2026-09,,,,,,1.4,DURION_STANDARD,,,PLATFORM,,2026-09-01
FLEET-PM-A-SERVICE,DURION,tier0-fake-2026-09,,Ford,F-350,,,2.0,DURION_STANDARD,,,PLATFORM,,2026-09-01
FLEET-PM-B-SERVICE,DURION,tier0-fake-2026-09,,,,,,2.8,DURION_STANDARD,,FLEET-PM-A-SERVICE,PLATFORM,,2026-09-01
DOT-ANNUAL-INSPECTION,DURION,tier0-fake-2026-09,,,,,,1.9,DURION_STANDARD,,,PLATFORM,,2026-09-01
FLEET-TREAD-DEPTH-AUDIT,DURION,tier0-fake-2026-09,,,,,,0.4,DURION_STANDARD,,,PLATFORM,,2026-09-01
MICHELIN-CASING-INSPECTION,MICHELIN,tier0-fake-2026-09,,,,,,0.5,MANUFACTURER_INSTALL,,,PLATFORM,,2026-09-01
MICHELIN-RETREAD-EVALUATION,MICHELIN,tier0-fake-2026-09,,,,,,0.8,MANUFACTURER_INSTALL,,,PLATFORM,,2026-09-01
TIRE-INSTALL-SET-4,MICHELIN,tier0-fake-2026-09,,,,,,1.1,MANUFACTURER_INSTALL,WHEEL-OFF,WHEEL-BALANCE-SET-4,PLATFORM,,2026-09-01
TIRE-INSTALL-LT-SET-4,MICHELIN,tier0-fake-2026-09,,,,,,1.5,MANUFACTURER_INSTALL,WHEEL-OFF,WHEEL-BALANCE-SET-4,PLATFORM,,2026-09-01
