locationCode,name,bayType,maxConcurrentVehicles
CLT-MAIN-001,Bay 01,GENERAL_SERVICE,1
CLT-MAIN-001,Bay 02,ALIGNMENT,1
CLT-MAIN-001,Bay 03,TIRE_SERVICE,1
CLT-MAIN-001,Bay 04,INSPECTION,1
CLT-MAIN-001,Bay 05,GENERAL_SERVICE,1
CLT-MAIN-001,Bay 06,HEAVY_DUTY,1
CLT-MAIN-001,Bay 07,TIRE_SERVICE,1
CLT-MAIN-001,Bay 08,WASH_DETAIL,1
CLT-NORTH-001,Bay 01,GENERAL_SERVICE,1
CLT-NORTH-001,Bay 02,TIRE_SERVICE,1
CLT-NORTH-001,Bay 03,INSPECTION,1
CLT-NORTH-001,Bay 04,ALIGNMENT,1
CLT-NORTH-001,Bay 05,GENERAL_SERVICE,1
CLT-NORTH-001,Bay 06,HEAVY_DUTY,1
CLT-SOUTH-001,Bay 01,GENERAL_SERVICE,1
CLT-SOUTH-001,Bay 02,ALIGNMENT,1
CLT-SOUTH-001,Bay 03,TIRE_SERVICE,1
CLT-SOUTH-001,Bay 04,INSPECTION,1
CLT-SOUTH-001,Bay 05,GENERAL_SERVICE,1
CLT-SOUTH-001,Bay 06,HEAVY_DUTY,1
CLT-SOUTH-001,Bay 07,WASH_DETAIL,1
