locationCode,dayOfWeek,openTime,closeTime
CLT-MAIN-001,MONDAY,07:00,18:00
CLT-MAIN-001,TUESDAY,07:00,18:00
CLT-MAIN-001,WEDNESDAY,07:00,18:00
CLT-MAIN-001,THURSDAY,07:00,18:00
CLT-MAIN-001,FRIDAY,07:00,18:00
CLT-MAIN-001,SATURDAY,08:00,14:00
CLT-SOUTH-001,MONDAY,07:30,18:00
CLT-SOUTH-001,TUESDAY,07:30,18:00
CLT-SOUTH-001,WEDNESDAY,07:30,18:00
CLT-SOUTH-001,THURSDAY,07:30,18:00
CLT-SOUTH-001,FRIDAY,07:30,18:00
CLT-SOUTH-001,SATURDAY,08:00,13:00
CLT-NORTH-001,MONDAY,07:30,17:30
CLT-NORTH-001,TUESDAY,07:30,17:30
CLT-NORTH-001,WEDNESDAY,07:30,17:30
CLT-NORTH-001,THURSDAY,07:30,17:30
CLT-NORTH-001,FRIDAY,07:30,17:30
CLT-NORTH-001,SATURDAY,08:00,13:00
ATX-RIV-001,MONDAY,07:00,17:30
ATX-RIV-001,TUESDAY,07:00,17:30
ATX-RIV-001,WEDNESDAY,07:00,17:30
ATX-RIV-001,THURSDAY,07:00,17:30
ATX-RIV-001,FRIDAY,07:00,17:30
ATX-RIV-001,SATURDAY,08:00,12:00
