locationCode,name,type,parentName,storageCategoryCode,hazardContainment,status,maxUnitCount,unitCount
CLT-MAIN-001,Receiving Dock,FLOOR,,STAGING,false,,,
CLT-MAIN-001,Staging Floor,FLOOR,,STAGING,false,,,
CLT-MAIN-001,Quarantine Cage,CAGE,,QUARANTINE,false,,,
CLT-MAIN-001,Core Returns Cage,CAGE,,QUARANTINE,false,,,
CLT-MAIN-001,Tire Rack A,SHELF,,TIRE_RACK,false,,,
CLT-MAIN-001,Tire Rack B,SHELF,,TIRE_RACK,false,,,
CLT-MAIN-001,Fluids Shelf,SHELF,,OIL_STORAGE,true,,,
CLT-MAIN-001,Battery Rack,SHELF,,BATTERY_RACK,true,,,
CLT-MAIN-001,Bulk Floor,FLOOR,,BULK_FLOOR,false,,,
CLT-MAIN-001,Van Stock 01,TRUCK,,GENERAL,false,,,
CLT-MAIN-001,Retired Bin,BIN,,GENERAL,false,INACTIVE,,
CLT-MAIN-001,Parts Shelf A,SHELF,,GENERAL,false,,,
CLT-MAIN-001,Parts Shelf B,SHELF,,GENERAL,false,,,
CLT-MAIN-001,Parts Shelf C,SHELF,,GENERAL,false,,,
CLT-MAIN-001,Bin A-01,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,200,12
CLT-MAIN-001,Bin A-02,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,50,49
CLT-MAIN-001,Bin A-03,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,24,24
CLT-MAIN-001,Bin A-04,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin A-05,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin A-06,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin A-07,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin A-08,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin B-01,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin B-02,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin B-03,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin B-04,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin B-05,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin B-06,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin B-07,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin B-08,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
