employeeNumber,skillCode,sourceCode,sourceCredentialCode,issuer,issuedOn,expiresOn,proficiency,evidenceRef
EMP-0005,,ASE,A8-ENGINE-PERF,ASE,2023-05-12,2028-05-12,4,
EMP-0005,,ASE,T1-GAS-ENGINE,ASE,2022-11-03,2027-11-03,4,
EMP-0005,,ASE,T2-DIESEL-ENGINE,ASE,2024-02-20,2029-02-20,5,
EMP-0006,,ASE,A5-BRAKES,ASE,2023-08-09,2028-08-09,4,
EMP-0006,,ASE,T3-DRIVE-TRAIN,ASE,2024-06-14,2029-06-14,5,
EMP-0006,,ASE,T4-BRAKES,ASE,2022-04-27,2027-04-27,4,
EMP-0007,,ASE,A6-ELECTRICAL,ASE,2023-10-02,2028-10-02,4,
EMP-0007,,ASE,T6-ELECTRICAL,ASE,2024-09-18,2029-09-18,5,
EMP-0007,,ASE,T7-HVAC,ASE,2021-03-15,2026-03-15,3,
EMP-0008,,ASE,A4-SUSPENSION,ASE,2024-01-22,2029-01-22,4,
EMP-0008,,ASE,T5-STEERING,ASE,2023-07-30,2028-07-30,3,
EMP-0008,,ASE,T8-PMI,ASE,2025-02-11,2030-02-11,5,
EMP-0008,DOT-INSPECTOR,,,SHOP,2025-03-01,2027-03-01,,
EMP-0009,,ASE,T2-DIESEL-ENGINE,ASE,2022-12-05,2027-12-05,4,
EMP-0009,,ASE,T3-DRIVE-TRAIN,ASE,2023-03-21,2028-03-21,4,
EMP-0009,,ASE,T8-PMI,ASE,2020-06-30,2025-06-30,3,
EMP-0010,,ASE,A5-BRAKES,ASE,2024-04-08,2029-04-08,4,
EMP-0010,,ASE,T4-BRAKES,ASE,2023-11-27,2028-11-27,5,
EMP-0010,,ASE,T6-ELECTRICAL,ASE,2022-08-16,2027-08-16,4,
EMP-0011,,ASE,T1-GAS-ENGINE,ASE,2023-01-09,2028-01-09,5,
EMP-0011,,ASE,T2-DIESEL-ENGINE,ASE,2024-10-01,2029-10-01,5,
EMP-0011,,ASE,T3-DRIVE-TRAIN,ASE,2022-05-19,2027-05-19,4,
EMP-0011,,ASE,T4-BRAKES,ASE,2023-09-06,2028-09-06,4,
EMP-0011,,ASE,T8-PMI,ASE,2021-12-13,2026-12-13,5,
EMP-0011,DOT-INSPECTOR,,,SHOP,2024-11-20,2026-11-20,,
