employeeNumber,locationCode,role,primary,effectiveFrom
EMP-0001,CORP-HQ-001,SYSTEM_ADMINISTRATOR,true,2024-01-15
EMP-0002,CLT-MAIN-001,LOCATION_MANAGER,true,2024-01-15
EMP-0003,CLT-MAIN-001,DISPATCHER,true,2024-01-15
EMP-0004,CLT-SOUTH-001,DISPATCHER,true,2024-01-15
EMP-0005,CLT-MAIN-001,TECHNICIAN,true,2024-01-15
EMP-0006,CLT-MAIN-001,TECHNICIAN,true,2024-01-15
EMP-0007,CLT-MAIN-001,TECHNICIAN,true,2024-01-15
EMP-0008,CLT-SOUTH-001,TECHNICIAN,true,2024-01-15
EMP-0009,CLT-SOUTH-001,TECHNICIAN,true,2024-01-15
EMP-0010,CLT-NORTH-001,TECHNICIAN,true,2024-01-15
EMP-0011,CLT-NORTH-001,TECHNICIAN,true,2024-01-15
EMP-0012,CLT-MAIN-001,SERVICE_ADVISOR,true,2024-01-15
EMP-0013,CLT-SOUTH-001,SERVICE_ADVISOR,true,2024-01-15
EMP-0014,CORP-HQ-001,ACCOUNTING_ASSOCIATE,true,2024-01-15
EMP-0015,CORP-HQ-001,ACCOUNTING_ASSOCIATE,true,2024-01-15
EMP-0016,CORP-HQ-001,ACCOUNT_MANAGER,true,2024-01-15
EMP-0017,CLT-MAIN-001,TECHNICIAN,true,2024-01-15
EMP-0018,CLT-MAIN-001,TECHNICIAN,true,2024-01-15
EMP-0019,CLT-MAIN-001,TECHNICIAN,true,2024-01-15
EMP-0020,CLT-MAIN-001,TECHNICIAN,true,2024-01-15
EMP-0021,CLT-MAIN-001,TECHNICIAN,true,2024-01-15
EMP-0022,CLT-SOUTH-001,TECHNICIAN,true,2024-01-15
EMP-0023,CLT-SOUTH-001,TECHNICIAN,true,2024-01-15
EMP-0024,CLT-SOUTH-001,TECHNICIAN,true,2024-01-15
EMP-0025,CLT-SOUTH-001,TECHNICIAN,true,2024-01-15
EMP-0026,CLT-SOUTH-001,TECHNICIAN,true,2024-01-15
EMP-0027,CLT-NORTH-001,TECHNICIAN,true,2024-01-15
EMP-0028,CLT-NORTH-001,TECHNICIAN,true,2024-01-15
EMP-0029,CLT-NORTH-001,TECHNICIAN,true,2024-01-15
EMP-0030,CLT-NORTH-001,TECHNICIAN,true,2024-01-15
EMP-0031,CLT-MOB-HUB-001,TECHNICIAN,true,2024-01-15
EMP-0032,CLT-MOB-HUB-001,TECHNICIAN,true,2024-01-15
EMP-0033,CLT-SOUTH-001,LOCATION_MANAGER,true,2024-01-15
EMP-0034,CLT-NORTH-001,LOCATION_MANAGER,true,2024-01-15
EMP-0035,CLT-MOB-HUB-001,LOCATION_MANAGER,true,2024-01-15
EMP-0036,CLT-NORTH-001,DISPATCHER,true,2024-01-15
EMP-0037,CLT-MOB-HUB-001,DISPATCHER,true,2024-01-15
EMP-0038,CLT-NORTH-001,SERVICE_ADVISOR,true,2024-01-15
EMP-0039,CLT-MOB-HUB-001,SERVICE_ADVISOR,true,2024-01-15
EMP-T001,ATX-RIV-001,TECHNICIAN,true,2022-01-10
EMP-T002,ATX-RIV-001,TECHNICIAN,true,2022-04-18
EMP-T003,ATX-RIV-001,TECHNICIAN,true,2023-02-06
EMP-SW001,ATX-RIV-001,SERVICE_WRITER,true,2021-09-13
EMP-SW002,ATX-RIV-001,SERVICE_WRITER,true,2023-07-24
EMP-M001,ATX-RIV-001,MANAGER,true,2020-05-04
EMP-P001,ATX-RIV-001,PARTS_CLERK,true,2022-11-14
