sku,msrp,currency,effectiveFrom
DORM-WHL-17-5L,148.91,USD,2024-01-01T00:00:00Z
DORM-WHL-18-5L,226.21,USD,2024-01-01T00:00:00Z
DORM-WHL-16-ST,91.31,USD,2024-01-01T00:00:00Z
DORM-WHL-20-6L,260.41,USD,2024-01-01T00:00:00Z
NGKP-TR55IX,10.25,USD,2024-01-01T00:00:00Z
NGKP-BKR6EIX,11.42,USD,2024-01-01T00:00:00Z
NGKP-IZFR6K11,11.72,USD,2024-01-01T00:00:00Z
NGKP-TR5,7.17,USD,2024-01-01T00:00:00Z
BSCH-SP9657,11.85,USD,2024-01-01T00:00:00Z
BSCH-SP4418,8.07,USD,2024-01-01T00:00:00Z
BSCH-SP4241,17.83,USD,2024-01-01T00:00:00Z
DENS-ITV20TT,16.85,USD,2024-01-01T00:00:00Z
DENS-PTV20TT,8.84,USD,2024-01-01T00:00:00Z
ACDL-41-162,15.59,USD,2024-01-01T00:00:00Z
GATE-T246,21.89,USD,2024-01-01T00:00:00Z
GATE-T295,39.23,USD,2024-01-01T00:00:00Z
GATE-T332,40.42,USD,2024-01-01T00:00:00Z
GATE-K015658XS,27.23,USD,2024-01-01T00:00:00Z
DAYC-95348,29.81,USD,2024-01-01T00:00:00Z
DAYC-95362,24.25,USD,2024-01-01T00:00:00Z
DAYC-HP2024,26.1,USD,2024-01-01T00:00:00Z
MOTO-WTC543,90.41,USD,2024-01-01T00:00:00Z
GATE-RH23656,14.76,USD,2024-01-01T00:00:00Z
GATE-RH23852,28.68,USD,2024-01-01T00:00:00Z
GATE-HH18390,14.47,USD,2024-01-01T00:00:00Z
DAYC-CH70451,18.33,USD,2024-01-01T00:00:00Z
DORM-615-180,46.07,USD,2024-01-01T00:00:00Z
DORM-635-422,45.08,USD,2024-01-01T00:00:00Z
ACDL-12589782,84.05,USD,2024-01-01T00:00:00Z
DORM-977-578,204.97,USD,2024-01-01T00:00:00Z
DORM-742-507,76.28,USD,2024-01-01T00:00:00Z
BSCH-FI62689,58.01,USD,2024-01-01T00:00:00Z
DENS-FI297-0012,49.78,USD,2024-01-01T00:00:00Z
ACDL-213-4578,94.59,USD,2024-01-01T00:00:00Z
BREM-P83073N,110.63,USD,2024-01-01T00:00:00Z
BREM-P06065N,98.82,USD,2024-01-01T00:00:00Z
BREM-D1593,51.97,USD,2024-01-01T00:00:00Z
WAGN-MX882,72.26,USD,2024-01-01T00:00:00Z
WAGN-QC1394,68.38,USD,2024-01-01T00:00:00Z
WAGN-SX756,77.91,USD,2024-01-01T00:00:00Z
RAYB-EHT882H,66.1,USD,2024-01-01T00:00:00Z
RAYB-ATD956C,57.07,USD,2024-01-01T00:00:00Z
EBCB-DP21488,81.02,USD,2024-01-01T00:00:00Z
EBCB-DP31488C,105.1,USD,2024-01-01T00:00:00Z
BSCH-BC905,69.03,USD,2024-01-01T00:00:00Z
ACDL-14D905CH,34.54,USD,2024-01-01T00:00:00Z
BREM-25988,86.99,USD,2024-01-01T00:00:00Z
BREM-09A12711,97.21,USD,2024-01-01T00:00:00Z
WAGN-BD125513E,52.26,USD,2024-01-01T00:00:00Z
RAYB-780407R,52.65,USD,2024-01-01T00:00:00Z
RAYB-96026R,38.57,USD,2024-01-01T00:00:00Z
EBCB-USR7271,69.24,USD,2024-01-01T00:00:00Z
BSCH-BD922,59.29,USD,2024-01-01T00:00:00Z
ACDL-18A2453,49.23,USD,2024-01-01T00:00:00Z
DORM-19-2761,127.37,USD,2024-01-01T00:00:00Z
DORM-19-3002,124.53,USD,2024-01-01T00:00:00Z
RAYB-FRC12524N,156.5,USD,2024-01-01T00:00:00Z
WAGN-BH137443,34.82,USD,2024-01-01T00:00:00Z
DORM-HW13301,25.66,USD,2024-01-01T00:00:00Z
OPTI-8002-002,174.57,USD,2024-01-01T00:00:00Z
OPTI-8014-045,207.4,USD,2024-01-01T00:00:00Z
OPTI-8027-127,274.41,USD,2024-01-01T00:00:00Z
INTS-MTP-65,181.59,USD,2024-01-01T00:00:00Z
INTS-MTP-75DT,164.26,USD,2024-01-01T00:00:00Z
INTS-MTP-24F,161.33,USD,2024-01-01T00:00:00Z
ACDL-48AGM,235.66,USD,2024-01-01T00:00:00Z
BSCH-AGM-35-850,240.11,USD,2024-01-01T00:00:00Z
BSCH-AL9951X,183.69,USD,2024-01-01T00:00:00Z
BSCH-SR4211X,132.81,USD,2024-01-01T00:00:00Z
DENS-210-0401,225.79,USD,2024-01-01T00:00:00Z
DENS-280-0163,116.91,USD,2024-01-01T00:00:00Z
ACDL-334-2471A,253.5,USD,2024-01-01T00:00:00Z
MOTO-GL-8806-RM,218.12,USD,2024-01-01T00:00:00Z
DORM-924-631,49.48,USD,2024-01-01T00:00:00Z
DORM-645-510,173.15,USD,2024-01-01T00:00:00Z
ACDL-19375493,17.22,USD,2024-01-01T00:00:00Z
MOTO-WR6125,75.83,USD,2024-01-01T00:00:00Z
BSCH-26A,22.0,USD,2024-01-01T00:00:00Z
BSCH-24A,16.33,USD,2024-01-01T00:00:00Z
BSCH-22A,30.41,USD,2024-01-01T00:00:00Z
BSCH-40521,19.55,USD,2024-01-01T00:00:00Z
DENS-160-3314,16.36,USD,2024-01-01T00:00:00Z
ACDL-8-2224,19.87,USD,2024-01-01T00:00:00Z
VALV-ATF-ML-QT,15.4,USD,2024-01-01T00:00:00Z
VALV-ATF-ML-GA,37.87,USD,2024-01-01T00:00:00Z
PRES-AF5060-6,10.19,USD,2024-01-01T00:00:00Z
PRES-AF5063,30.13,USD,2024-01-01T00:00:00Z
DORM-630-440,147.01,USD,2024-01-01T00:00:00Z
DORM-630-522,142.92,USD,2024-01-01T00:00:00Z
DORM-630-613,166.93,USD,2024-01-01T00:00:00Z
DORM-936-893,181.81,USD,2024-01-01T00:00:00Z
MOOG-254,40.14,USD,2024-01-01T00:00:00Z
DORM-577-284,182.25,USD,2024-01-01T00:00:00Z
DORM-40-23016,113.19,USD,2024-01-01T00:00:00Z
ACDL-9641693,92.88,USD,2024-01-01T00:00:00Z
MONR-72699,71.39,USD,2024-01-01T00:00:00Z
MONR-72672,95.15,USD,2024-01-01T00:00:00Z
MONR-32295,65.84,USD,2024-01-01T00:00:00Z
MONR-34676,52.83,USD,2024-01-01T00:00:00Z
KYBR-334236,49.85,USD,2024-01-01T00:00:00Z
KYBR-235056,68.34,USD,2024-01-01T00:00:00Z
KYBR-553124,75.6,USD,2024-01-01T00:00:00Z
KYBR-SR4163,217.41,USD,2024-01-01T00:00:00Z
MOOG-K500155,59.66,USD,2024-01-01T00:00:00Z
MOOG-K500310,39.14,USD,2024-01-01T00:00:00Z
MOOG-RK620538,141.14,USD,2024-01-01T00:00:00Z
MOOG-RK622021,136.92,USD,2024-01-01T00:00:00Z
DORM-520-459,159.3,USD,2024-01-01T00:00:00Z
MOOG-513088,73.19,USD,2024-01-01T00:00:00Z
MOOG-513179,106.28,USD,2024-01-01T00:00:00Z
MOOG-HA590513,124.15,USD,2024-01-01T00:00:00Z
DORM-930-613,140.09,USD,2024-01-01T00:00:00Z
MOOG-ES3448,36.51,USD,2024-01-01T00:00:00Z
MOOG-EV800566,53.45,USD,2024-01-01T00:00:00Z
DORM-600-116,406.56,USD,2024-01-01T00:00:00Z
DORM-300-002,248.85,USD,2024-01-01T00:00:00Z
ACDL-36-365556,60.99,USD,2024-01-01T00:00:00Z
MOBI-104561,11.86,USD,2024-01-01T00:00:00Z
MOBI-120764,45.78,USD,2024-01-01T00:00:00Z
MOBI-14977,46.28,USD,2024-01-01T00:00:00Z
MOBI-72206,41.12,USD,2024-01-01T00:00:00Z
VALV-787987,27.59,USD,2024-01-01T00:00:00Z
VALV-782253,27.72,USD,2024-01-01T00:00:00Z
VALV-882,11.42,USD,2024-01-01T00:00:00Z
PRES-AF2100,16.38,USD,2024-01-01T00:00:00Z
PRES-AF6100,25.41,USD,2024-01-01T00:00:00Z
PRES-AS105,8.33,USD,2024-01-01T00:00:00Z
VALV-714530,19.22,USD,2024-01-01T00:00:00Z
PRES-AS800Y,7.86,USD,2024-01-01T00:00:00Z
PRES-AS900Y,8.35,USD,2024-01-01T00:00:00Z
VALV-601458,13.39,USD,2024-01-01T00:00:00Z
DORM-WD40-8Z,8.09,USD,2024-01-01T00:00:00Z
