employeeNumber,skillCode,proficiencyLevel
EMP-0005,A8-ENGINE-PERF,4
EMP-0005,T1-GAS-ENGINE,4
EMP-0005,T2-DIESEL-ENGINE,5
EMP-0006,A5-BRAKES,4
EMP-0006,T3-DRIVE-TRAIN,5
EMP-0006,T4-BRAKES,4
EMP-0007,A6-ELECTRICAL,4
EMP-0007,T6-ELECTRICAL,5
EMP-0007,T7-HVAC,3
EMP-0008,A4-SUSPENSION,4
EMP-0008,T5-STEERING,3
EMP-0008,T8-PMI,5
EMP-0009,T2-DIESEL-ENGINE,4
EMP-0009,T3-DRIVE-TRAIN,4
EMP-0009,T8-PMI,3
EMP-0010,A5-BRAKES,4
EMP-0010,T4-BRAKES,5
EMP-0010,T6-ELECTRICAL,4
EMP-0011,T1-GAS-ENGINE,5
EMP-0011,T2-DIESEL-ENGINE,5
EMP-0011,T3-DRIVE-TRAIN,4
EMP-0011,T4-BRAKES,4
EMP-0011,T8-PMI,5
